ACTION_NAME,ID_FECHA,CLICKED,HOMBRE,MUJER,SEXO,GENERO,GENERO_bien,error,HA_COMPRADO,compra_coincide,COINCIDE_CLICK_COMPRA,clientes,compras
BESTSELLERS,0,0,0.0,0.0,0,HOMBRE,NS/NC,1,no ha comprado,no coincide,no coincide,227975,0
BESTSELLERS,0,0,0.0,0.0,0,HOMBRE,NS/NC,1,no ha comprado,no coincide,no coincide,12688,0
BESTSELLERS,0,0,0.0,0.0,1,HOMBRE,MUJER,1,no ha comprado,no coincide,no coincide,5,0
BESTSELLERS,0,0,0.0,0.0,1,MUJER,MUJER,0,no ha comprado,no coincide,no coincide,511178,0
BESTSELLERS,0,0,0.0,0.0,2,NS/NC,HOMBRE,1,no ha comprado,no coincide,no coincide,57669,0
BESTSELLERS,0,0,0.0,0.0,3,NS/NC,NS/NC,0,no ha comprado,no coincide,no coincide,335,0
BESTSELLERS,0,0,0.0,0.0,4,NS/NC,NS/NC,0,no ha comprado,no coincide,no coincide,568,0
BESTSELLERS,0,0,0.0,1.0,0,MUJER,MUJER,0,no ha comprado,no coincide,no coincide,48753,0
BESTSELLERS,0,0,0.0,1.0,0,MUJER,MUJER,0,no ha comprado,no coincide,no coincide,2234,0
BESTSELLERS,0,0,0.0,1.0,1,MUJER,MUJER,0,no ha comprado,no coincide,no coincide,162943,0
BESTSELLERS,0,0,0.0,1.0,2,MUJER,MUJER,0,no ha comprado,no coincide,no coincide,11200,0
BESTSELLERS,0,0,0.0,1.0,3,MUJER,MUJER,0,no ha comprado,no coincide,no coincide,128,0
BESTSELLERS,0,0,0.0,1.0,4,MUJER,MUJER,0,no ha comprado,no coincide,no coincide,246,0
BESTSELLERS,0,0,1.0,0.0,0,HOMBRE,HOMBRE,0,no ha comprado,no coincide,no coincide,1463,0
BESTSELLERS,0,0,1.0,0.0,0,HOMBRE,HOMBRE,0,no ha comprado,no coincide,no coincide,64,0
BESTSELLERS,0,0,1.0,0.0,1,MUJER,HOMBRE,1,no ha comprado,no coincide,no coincide,2896,0
BESTSELLERS,0,0,1.0,0.0,2,HOMBRE,HOMBRE,0,no ha comprado,no coincide,no coincide,4059,0
BESTSELLERS,0,0,1.0,0.0,3,HOMBRE,HOMBRE,0,no ha comprado,no coincide,no coincide,11,0
BESTSELLERS,0,0,1.0,0.0,4,HOMBRE,HOMBRE,0,no ha comprado,no coincide,no coincide,21,0
BESTSELLERS,0,0,1.0,1.0,0,MIXTO,MIXTO,0,no ha comprado,no coincide,no coincide,4127,0
BESTSELLERS,0,0,1.0,1.0,0,MIXTO,MIXTO,0,no ha comprado,no coincide,no coincide,185,0
BESTSELLERS,0,0,1.0,1.0,1,MUJER,MIXTO,1,no ha comprado,no coincide,no coincide,11849,0
BESTSELLERS,0,0,1.0,1.0,2,MIXTO,MIXTO,0,no ha comprado,no coincide,no coincide,3043,0
BESTSELLERS,0,0,1.0,1.0,3,MIXTO,MIXTO,0,no ha comprado,no coincide,no coincide,9,0
BESTSELLERS,0,0,1.0,1.0,4,MIXTO,MIXTO,0,no ha comprado,no coincide,no coincide,33,0
BESTSELLERS,0,1,0.0,0.0,0,HOMBRE,NS/NC,1,no ha comprado,no coincide,no coincide,2498,0
BESTSELLERS,0,1,0.0,0.0,0,HOMBRE,NS/NC,1,no ha comprado,no coincide,no coincide,170,0
BESTSELLERS,0,1,0.0,0.0,1,MUJER,MUJER,0,no ha comprado,no coincide,no coincide,6514,0
BESTSELLERS,0,1,0.0,0.0,2,NS/NC,HOMBRE,1,no ha comprado,no coincide,no coincide,530,0
BESTSELLERS,0,1,0.0,0.0,3,NS/NC,NS/NC,0,no ha comprado,no coincide,no coincide,3,0
